Company,Company LinkedIn,Company Location (State),Employee Size,Industry,Phone,Revenue,Website
CLASEN QUALITY CHOCOLATE,,,350,Food Production,,75000000,http://www.cqc.com
"CLASSIC TURNING, INC.",,,51,Aviation and Aerospace Component Manufacturing,,32744000,classicturning.com
CLEAR ALIGN,,,80,Defense and Space Manufacturing,,55038000,clearalign.com
CLEARY BUILDING,,Wisconsin,390,Construction,,97300000,clearybuilding.com
CLEVELAND STEEL CONTAINER,,,350,Packaging and Containers Manufacturing,,77400000,http://www.cscpails.com
CLIMATECH,,Minnesota,100,plastics,,30600000,clim-a-tech.com
CLIPPARD INSTRUMENT LABORATORY,,,350,Manufacturing,,39600000,https://clippard.com
CMC,,,350,Printing Services,,50100000,http://www.cmcgp.com
CME WIRE AND CABLE,,,93,electrical/electronic manufacturing,,49455000,http://www.cmewire.com
COASTAL AUTOMOTIVE,,,125,Automotive,,117400000,http://www.coastal-automotive.com
COASTAL CONSTRUCTION PRODUCTS,,,125,Construction,,250000000,https://CoastalOne.com
COASTAL CONTAINER,,Michigan,67,Packaging & Containers,,25000000,coastal-container.com
COASTAL PET PRODUCTS,,,750,Consumer Goods,,50000000,http://www.coastalpet.com
COATING PLACE INC.,,,125,Pharmaceutical Manufacturing,,57900000,http://www.coatingplace.com
CO-AX TECHNOLOGY,,,350,"Appliances, Electrical, and Electronics Manufacturing",,59300000,http://www.coaxinc.com
CODONICS,,,125,Medical Equipment Manufacturing,,32000000,http://www.codonics.com
COE DISTRIBUTING,,,350,Furniture and Home Furnishings Manufacturing,,70700000,http://www.coedistributing.com
COLD JET,,,350,Machinery Manufacturing,,41200000,http://www.coldjet.com
COLORCON®,,Pennsylvania,1100,Pharmaceuticals,,500000000,colorcon.com
COLORVISION INTERNATIONAL,,,190,Retail,,150000000,http://www.colorvisionint.com
COLOURS,,,350,Motor Vehicle Manufacturing,,72300000,http://gocolours.com
COLUMBIA GEAR CORPORATION,,,95,machinery,,74600000,columbiagear.com
"COLUMBUS INDUSTRIES INC, FILTRATION GROUP",,,750,Manufacturing,,350000000,https://www.columbusindustries.com/
COMBI PACKAGING SYSTEMS,,,125,Machinery Manufacturing,,36400000,https://www.combi.com
COMETIC GASKET,,,125,Motor Vehicle Manufacturing,,53800000,http://www.cometic.com
COMFORT RESEARCH,,,350,Furniture and Home Furnishings Manufacturing,,73000000,http://www.comfortresearch.com
COMMERCE CONTROLS,,Michigan,200,Industrial Automation,,25000000,commercecontrols.com
"COMMERCIAL TOOL GROUP: COMMERCIAL TOOL & DIE, INC., CG AUTOMATION & FIXTURE, INC., CG PLASTICS, INC.",,Michigan,130,Plastics Manufacturing,,33753000,commercialtoolgroup.com
COMMUNITY TISSUE SERVICES,,,750,Medical Equipment Manufacturing,,52700000,http://www.communitytissue.org
"COMPANY WRENCH, LTD.",,,125,Machinery Manufacturing,,127300000,http://companywrench.com/
COMPASS HEALTH BRANDS,,,125,Medical Equipment Manufacturing,,40000000,http://www.compasshealthbrands.com
CON FORMS,,,76,"Glass, Ceramics and Concrete Manufacturing",,30465000,conforms.com
CONCURRENT TECHNOLOGIES,,,750,Defense & Space,,115000000,http://www.ctc.com
CONE DRIVE,,,350,Automation Machinery Manufacturing,,150000000,http://www.conedrive.com
CONESTOGA WOOD SPECIALTIES,,,3000,Wholesale Building Materials,,271600000,http://www.conestogawood.com
CONN SELMER,,Indiana,430,Mechanical Or Industrial Engineering,,298900000,connselmer.com
CONNECT AMERICA,,,750,Medical Equipment Manufacturing,,60000000,http://www.connectamerica.com
CONSOLIDATED CONSTRUCTION,,Wisconsin,120,Construction,,26600000,1call2build.com
CONSOLIDATED PRECISION PRODUCTS,,,3000,Aviation and Aerospace Component Manufacturing,,150000000,http://www.cppcorp.com
CONSUMERS CONCRETE,,Michigan,52,Construction,,44500000,consumersconcrete.com
CONTINENTAL OFFICE EST. 1939,,,350,Office Furniture and Fixtures Manufacturing,,122500000,http://www.continentaloffice.com
CONTRACT INDUSTRIAL TOOLING (C-I-T),,Indiana,56,Packaging & Containers,,582000000,c-i-t.com
COOPER-BOOTH WHOLESALE,,,350,Wholesale,,34000000,http://www.cooperbooth.com
COPPERWELD,,,150,electrical/electronic manufacturing,,82600000,http://www.copperweld.com
CORE MOLDING TECHNOLOGIES,,,3000,Plastics Manufacturing,,325200000,http://www.coremt.com
CORK MEDICAL,,Indiana,71,medical devices,,25000000,corkmedical.com
CORNWELL QUALITY TOOLS,,,350,Motor Vehicle Manufacturing,,218700000,http://www.cornwelltools.com
CORTEC CORPORATION,,,150,Chemical Manufacturing,,51000000,cortecvci.com
CORVAC COMPOSITES,,,750,Motor Vehicle Manufacturing,,150000000,http://www.Corvaccomposites.com
CORVAL GROUP,,Minnesota,210,Construction,,133800000,corvalgroup.com
COUGHLIN AUTOMOTIVE,,,350,Motor Vehicle Manufacturing,,50500000,http://www.coughlincars.com
COVERT MANUFACTURING,,,125,Motor Vehicle Manufacturing,,78100000,http://www.covertmfg.com
C-P FLEXIBLE PACKAGING,,,3000,Packaging and Containers Manufacturing,,50000000,http://www.cpflexpack.com
CQ MEDICAL,,Pennsylvania,76,medical devices,,25000000,cqmedical.com
CRANE PUMPS & SYSTEMS,,,750,Machinery Manufacturing,,201700000,http://www.cranepumps.com
CRARY INDUSTRIES,,North Dakota,87,machinery,,30900000,crary.com
CRAYOLA,,,3000,Manufacturing,,450200000,http://www.crayola.com
CRC INDUSTRIES,,,350,Chemical Manufacturing,,75000000,http://www.crcindustries.com
CREATIVE FOAM,,,3000,Motor Vehicle Manufacturing,,65000000,http://www.creativefoam.com
CREATIVE PACKAGING COMPANY,,Kentucky,53,Packaging & Containers,,25400000,creativepackagingco.com
CREE LIGHTING,,,3000,"Appliances, Electrical, and Electronics Manufacturing",,56000000,http://www.creelighting.com
CREMER NORTH AMERICA,,,350,Chemical Manufacturing,,34100000,http://www.petercremerna.com
CRENLO ENGINEERED CABS,,Minnesota,490,machinery,,35000000,crenlo.com
"CRESLINE PLASTIC PIPE CO., INC.",,Indiana,120,Plastics Manufacturing,,70000000,cresline.com
CRETEX MEDICAL,,Minnesota,779,Medical Equipment Manufacturing,,99600000,cretexmedical.com
CROWN BATTERY,,,750,Motor Vehicle Manufacturing,,166600000,http://www.crownbattery.com
CROWN IRON WORKS,,,210,Industrial Machinery Manufacturing,,50000000,crowniron.com
CROWN LABORATORIES,,,640,Retail,,300000000,http://www.crownlaboratories.com
CSAFE,https://www.linkedin.com/company/csafeglobal,,112,Logistics and Supply Chain,,11200000,csafeglobal.com
CUMMINS,,Indiana,48530,Motor Vehicle Manufacturing,,248000000,cummins.com
CURT G. JOA INC.,,,350,Machinery Manufacturing,,30300000,http://www.joa.com
CURT GROUP,,,3000,Automotive,,247000000,http://www.curtgroup.com
CURVEBEAM AI,,Pennsylvania,67,medical devices,,25000000,curvebeamai.com
"CUSTER, INC.",,,120,Furniture and Home Furnishings Manufacturing,,49100000,custerinc.com
CUSTOM PRODUCTS,,,350,Packaging and Containers Manufacturing,,48000000,http://www.customproducts.net
DAKKOTA INTEGRATED SYSTEMS,,Michigan,3000,Automotive,,510500000,dakkota.com
DAKOTA BODIES,,South Dakota,110,Motor Vehicle Manufacturing,,25000000,dakotabodies.com
DAKOTA FLUID POWER,,South Dakota,120,machinery,,46000000,dakotafluidpower.com
DAKTRONICS,,South Dakota,2300,Manufacturing,,115000000,daktronics.com
DANT CLAYTON CORPORATION,,Kentucky,99,Construction,,46300000,dantclayton.com
DARANA HYBRID,,,350,Automation Machinery Manufacturing,,104600000,http://www.daranahybrid.com
DAYGLO COLOR,,,350,Chemical Manufacturing,,92700000,http://www.dayglo.com
DAYTON PARTS DRIVEN BY DORMAN,,,3000,Motor Vehicle Manufacturing,,168000000,http://www.daytonparts.com
DAYTON ROGERS MFG,,Minnesota,150,machinery,,60000000,daytonrogers.com
DAYTON-PHOENIX,,,350,Railroad Equipment Manufacturing,,98700000,http://www.dayton-phoenix.com
DEARING COMPRESSOR & PUMP,,,125,Machinery Manufacturing,,41100000,http://www.dearingcomp.com
DECATUR PLASTIC PRODUCTS,,Indiana,68,Automotive,,86000000,decaturplastics.com
DEDICATED COMPUTING,,,350,Computer Hardware Manufacturing,,140000000,http://www.dedicatedcomputing.com
DEE PACKAGING SOLUTIONS,,Pennsylvania,57,Packaging & Containers,,35000000,deepkg.com
DEISTER MACHINE COMPANY,,Indiana,110,mining & metals,,69600000,deistermachine.com
DEKKO,,Indiana,350,"Appliances, Electrical, and Electronics Manufacturing",,600000000,dekko.com
DELALLO,,,350,Food and Beverage Manufacturing,,300000000,http://www.delallo.com
DELKOR SYSTEMS,,,213,Packaging & Containers,,222500000,delkorsystems.com
DELPHINUS ENGINEERING,,,750,Defense and Space Manufacturing,,131200000,http://www.delphinus.com/
DELTA,,,130,electrical/electronic manufacturing,,45793000,http://www.deltasystemsinc.com
DELTA MODTECH,,Minnesota,140,machinery,,86600000,deltamodtech.com
DELVAL EQUIPMENT,,Pennsylvania,120,machinery,,25000000,delval.com
DEMMER,,,350,Defense and Space Manufacturing,,64300000,http://www.demmercorp.com
DENTAL HEALTH PRODUCTS,,Wisconsin,210,medical devices,,57500000,dhpsupply.com
DENTALEZ,,,350,Medical Equipment Manufacturing,,75000000,http://www.dentalez.com
DEPATIE FLUID POWER,,Michigan,78,machinery,,54300000,depatie.com
DERCO,,,350,Aviation & Aerospace,,34400000,http://www.dercoaerospace.com
DESTACO,,,750,Automation Machinery Manufacturing,,300000000,http://www.destaco.com
DETROIT AXLE,,,350,Motor Vehicle Manufacturing,,70000000,http://www.detroitaxle.com
DETROIT FORMING,,Michigan,69,Packaging & Containers,,65600000,detroitforming.com
DETROIT MANUFACTURING SYSTEMS,,,3000,Manufacturing,,355300000,http://www.dmsna.com
DETROIT THERMAL SYSTEMS,,,750,Motor Vehicle Manufacturing,,70000000,http://www.detroitthermalsystems.com
DEWYS MANUFACTURING,,Michigan,120,machinery,,55900000,dewysmfg.com
DEXTER,,Indiana,3800,Mechanical Or Industrial Engineering,,530000000,dextergroup.com
DEZURIK,,,320,Industrial Machinery Manufacturing,,125000000,dezurik.com
DIAMOND MANUFACTURING COMPANY,,Pennsylvania,110,mining & metals,,76200000,diamondman.com
DIAMOND PHARMACY SERVICES,,Pennsylvania,260,Pharmaceutical Manufacturing,,391000000,diamondpharmacy.com
DITEK,,,79,electrical/electronic manufacturing,,25000000,http://www.diteksurgeprotection.com
DIVERSATEK HEALTHCARE,,Wisconsin,79,medical devices,,26900000,diversatekhealthcare.com
"DIVERSIFIED AUTOMATION, INC.",,,150,Automation Machinery Manufacturing,,100000000,diversified-automation.com
DIVERSIFIED CHEMICAL TECHNOLOGIES,,,350,Chemical Manufacturing,,67900000,http://www.dchem.com
DOMINION TECHNOLOGIES GROUP,,Michigan,140,Automotive,,37100000,dominiontec.com
DONATELLE,,Minnesota,160,medical devices,,70000000,donatellemedical.com
DONSCO,,,350,Mining,,70000000,http://www.donsco.com
DORNER MFG. CORP.,,,350,Industrial Automation,,90000000,http://www.dornerconveyors.com
DOROTHY LANE MARKET,,,310,Retail,,80859000,http://www.dorothylane.com
DOUBLE H PLASTICS,,,350,Packaging and Containers Manufacturing,,39000000,http://www.doublehplastics.com
DOUGLAS MACHINE INC.,,,370,Industrial Machinery Manufacturing,,125000000,douglas-machine.com
DOVER CHEMICAL,,,350,Chemical Manufacturing,,42700000,http://www.doverchem.com
DOWCO,,,350,Textile Manufacturing,,37000000,http://www.dowco-inc.com
DOWNLITE,,,160,textiles,,200000000,http://www.downlite.com
DREAMLINE,,,350,Wholesale,,33900000,http://www.DreamLine.com
DRUCKER DIAGNOSTICS,,Pennsylvania,52,medical devices,,25000000,druckerdiagnostics.com
DUPERON CORPORATION,,Michigan,62,machinery,,297000000,duperon.com
DUPPS,,,350,Food and Beverage Manufacturing,,30900000,http://www.dupps.com
DURATECH INDUSTRIES,,,350,Printing Services,,45000000,http://www.duratech.com
DURAVENT,,,350,Industrial Machinery Manufacturing,,95829000,http://www.duraventgroup.com
DUTY FREE AMERICAS,,,1100,Retail,,34789000,http://www.dutyfreeamericas.com
DWYER INSTRUMENTS,,Indiana,340,Automation Machinery Manufacturing,,204499000,dwyer-inst.com
DYNALAB,,,120,electrical/electronic manufacturing,,27000000,http://www.dynalabems.com
"DYNALAB, INC.",,,350,"Appliances, Electrical, and Electronics Manufacturing",,37300000,http://www.dynalabems.com
DYNAMIC TOOL CORPORATION,,Wisconsin,53,plastics,,40200000,dyntool.com
DYSON,,,125,Industrial Machinery Manufacturing,,57800000,http://www.dysoncorp.com
E. SAM JONES LIGHTING & ENERGY SOLUTIONS,,,68,electrical/electronic manufacturing,,151000000,http://www.esamjones.com
E.C. STYBERG ENGINEERING & MANUFACTURING,,Wisconsin,75,mining & metals,,54300000,styberg.com
EAGLE,,,350,Automation Machinery Manufacturing,,31000000,http://www.eagletechnologies.com
EAGLE CRUSHER,,,125,Machinery Manufacturing,,31700000,http://www.eaglecrusher.com
EAGLE FAMILY FOODS,,,350,Manufacturing,,53400000,https://eaglefoods.com
EAGLE TECHNOLOGIES,,,350,Automation Machinery Manufacturing,,31000000,http://www.eagletechnologies.com
EAM-MOSCA CORP.,,,350,Packaging and Containers Manufacturing,,51200000,http://www.eammosca.com
EARTHFIRST BIOPOLYMER FILMS BY PSI,,,125,Plastics Manufacturing,,75000000,http://www.plasticsuppliers.com
EASE LOGISTICS,,,180,Transportation/Trucking/Railroad,,53500000,http://www.easelogistics.com
EAST END WELDING,,,125,Industrial Machinery Manufacturing,,30600000,http://www.eastendwelding.com
EAST WEST WISCONSIN,,,350,"Appliances, Electrical, and Electronics Manufacturing",,33600000,http://www.ewmfg.com
"EASTERN CONTROLS, INC.",,,130,Automation Machinery Manufacturing,,30000000,easterncontrols.com
EASTERN METAL SUPPLY,,,750,Wholesale,,64200000,https://www.easternmetal.com
EASY WAY PRODUCTS,,,750,Furniture and Home Furnishings Manufacturing,,38000000,http://www.easywayproducts.com
EBERHARD MANUFACTURING,,,350,Motor Vehicle Manufacturing,,52800000,http://www.eberhard.com
EBW ELECTRONICS,,,350,"Appliances, Electrical, and Electronics Manufacturing",,43900000,http://www.ebwe.com
ECHELON FITNESS MULTIMEDIA,,,220,sporting goods,,200000000,http://www.echelonfit.com
"ECK INDUSTRIES, INC.",,,350,Defense and Space Manufacturing,,34800000,http://www.eckindustries.com
ECKHART,,,350,Automation Machinery Manufacturing,,114100000,http://www.eckhartusa.com
ECM INDUSTRIES,,Wisconsin,120,electrical/electronic manufacturing,,72500000,ecmindustries.com
ECOPAX,,Pennsylvania,58,Packaging & Containers,,64100000,ecopaxinc.com
ECORE INTERNATIONAL,,,750,Wholesale Building Materials,,150000000,http://www.ecoreintl.com
ECOWATER SYSTEMS LLC,,,501,Mechanical Or Industrial Engineering,,97800000,ecowater.com
ECRM,,,350,Manufacturing,,64300000,http://ecrm.marketgate.com
"ECS SOLUTIONS, INC.",,Indiana,54,machinery,,25000000,ecssolutions.com
EDIBLE ARRANGEMENTS,,,3300,Retail,,600000000,http://www.ediblearrangements.com
"EFP, LLC.",,Indiana,190,Packaging and Containers Manufacturing,,55000000,efppackaging.com
EHOB,,Indiana,200,medical devices,,52400000,ehob.com
ELECTRI-CORD MANUFACTURING,,,280,electrical/electronic manufacturing,,430000000,http://www.electri-cord.com
ELECTRO-MATIC PRODUCTS,,,200,electrical/electronic manufacturing,,25000000,http://www.electro-matic.com
ELECTRON ENERGY CORPORATION,,Pennsylvania,71,mining & metals,,32000000,electronenergy.com
ELECTRONIC SYSTEMS,,South Dakota,52,electrical/electronic manufacturing,,51400000,electronicsi.com
ELECTRONIC THEATRE CONTROLS,,,3000,"Appliances, Electrical, and Electronics Manufacturing",,172500000,http://www.etcconnect.com
ELGIN FASTENER,,,750,Machinery Manufacturing,,115000000,http://www.elginfasteners.com
ELLWOOD,,,270,Industrial Machinery Manufacturing,,570000000,ellwoodgroup.com
ELSA,,Indiana,130,Automotive,,142500000,elsallc.com
EMERSON NETWORK POWER,,,7100,electrical/electronic manufacturing,,150000000,http://www.emersonnetworkpower.com
EMERY OLEOCHEMICALS,,,350,Chemical Manufacturing,,193900000,https://www.emeryoleo.com
EMMI ROTH,,,350,Food & Beverages,,100000000,http://www.emmiroth.com/careers
EMPIRE ABRASIVE EQUIPMENT CO.,,Pennsylvania,63,machinery,,27700000,empire-airblast.com
EMPIRE DIE CASTING,,,350,Mechanical Or Industrial Engineering,,36400000,http://www.empiredie.com
EMPIRE ELECTRONICS,,,350,Automotive,,38944000,https://www.empireelectronics.com
EMSAR,,,350,Medical Device,,60000000,http://www.emsar.com
ENABLE INJECTIONS,,,125,Medical Equipment Manufacturing,,50000000,https://enableinjections.com/
ENERGY STEEL,,Michigan,54,machinery,,537000000,energysteel.com
ENERPAC,,,750,Machinery Manufacturing,,200000000,http://www.enerpac.com
ENERPAC TOOL GROUP,,,680,Industrial Machinery Manufacturing,,589422000,enerpactoolgroup.com
ENERPAC TOOL GROUP: PREVIOUSLY 'ACTUANT CORPORATION',,Wisconsin,2300,machinery,,590000000,enerpactoolgroup.com
ENGAGE TECHNOLOGIES CORPORATION,,Minnesota,84,Packaging & Containers,,32600000,engagetechnologies.net
ENGINE POWER COMPONENTS,,,350,Motor Vehicle Manufacturing,,40770000,http://www.engpwr.com
ENHANCED INFORMATION SOLUTIONS (EIS),,Minnesota,200,machinery,,500000000,eisinc.com
"ENOVAPREMIER, LLC",,Kentucky,170,Motor Vehicle Manufacturing,,72400000,enovapremier.com
ENSTROM HELICOPTER,,,350,Aviation and Aerospace Component Manufacturing,,52800000,http://enstromhelicopter.com
ENVIRONMENTAL TECTONICS,,,350,Industrial Machinery Manufacturing,,47800000,http://www.etcusa.com
ENWORK,,,125,Furniture and Home Furnishings Manufacturing,,100000000,http://enwork.com/
EOTECH,,,130,Defense and Space Manufacturing,,72000000,eotechinc.com
EPIC EQUIPMENT,,,125,Automation Machinery Manufacturing,,39000000,http://www.epicequipment.com
EQUIPMENT & CONTROLS,,,350,Automation Machinery Manufacturing,,70000000,http://www.eci.us
EQUIPMENT TECHNOLOGIES,,Indiana,75,machinery,,31000000,etsprayers.com
ERMCO-ECI,,,350,electrical/electronic manufacturing,,150000000,http://www.ermco-eci.com
ESCALADE SPORTS,,Indiana,210,Sporting Goods Manufacturing,,222208000,escaladesports.com
ESPERION,,,350,Pharmaceutical Manufacturing,,75500000,http://www.esperion.com
"ESSENTIAL INDUSTRIES, INC",,,79,Chemical Manufacturing,,35000000,essind.com
ESSEX BROWNELL,,Indiana,70,electrical/electronic manufacturing,,119200000,essexbrownell.com
ESSEX FURUKAWA MAGNET WIRE,,,280,"Appliances, Electrical, and Electronics Manufacturing",,67600000,essexfurukawa.com
"EVERBRITE, LLC",,,750,Manufacturing,,130000000,http://www.everbrite.com
EVERIDGE,,Minnesota,160,Manufacturing,,75000000,everidge.com
EXECUTIVE CLASS,https://www.linkedin.com/company/2964970,Florida,51,Transportation/Trucking/Railroad,,20000000,executiveclassrelo.com
EXOTIC AUTOMATION & SUPPLY,,,200,Automation Machinery Manufacturing,,30000000,exoticautomation.com
EXTANG CORPORATION,,Michigan,120,Automotive,,116000000,extang.com
EXTREME ENGINEERING SOLUTIONS,,,350,Computer Hardware Manufacturing,,30000000,https://www.xes-inc.com
EXTRUDE HONE,,,350,Machinery Manufacturing,,70000000,https://www.extrudehone.com
FABCON,,Minnesota,850,Construction,,156500000,fabconprecast.com
FABIANO BROTHERS,,,350,Wholesale,,63500000,http://www.fabianobrothers.com
FABRI-KAL,,,3000,Packaging and Containers Manufacturing,,303000000,https://www.fabri-kal.com
FAIRBANKS MORSE DEFENSE,,,3000,Machinery Manufacturing,,258000000,http://www.FMDefense.com
FANIMATION CEILING FANS,,Indiana,63,Manufacturing,,58500000,fanimation.com
FANNIE MAY,,,750,Consumer Goods,,100000000,http://www.fanniemay.com
FAS-PAK,,Indiana,60,Packaging & Containers,,32000000,fas-pak.com
"FASTCO INDUSTRIES, INC.",,Michigan,72,mining & metals,,26700000,fastcoindustries.com
FBI BUILDINGS,,Indiana,170,Construction,,191000000,fbibuildings.com
FCX PERFORMANCE,,,3000,Industrial Machinery Manufacturing,,317500000,http://www.fcxperformance.com
FECON,,,350,Machinery Manufacturing,,75000000,http://www.fecon.com
FEDCO - FLUID EQUIPMENT DEVELOPMENT COMPANY,,Michigan,69,Mechanical Or Industrial Engineering,,65000000,fedco-usa.com
FEDERAL SCREW WORKS,,Michigan,80,Automotive,,59200000,federalscrewworks.com
FEESER'S FOOD DISTRIBUTORS,,,350,Food and Beverage Services,,172500000,http://www.feesers.com/
FELLOWES,,,350,Furniture and Home Furnishings Manufacturing,,500000000,https://www.fellowes.com
FENNER PRECISION POLYMERS,,,140,Automation Machinery Manufacturing,,62900000,fennerppd.com
FERADYNE OUTDOORS,,,350,Sporting Goods Manufacturing,,254000000,http://feradyne.com
FERNO,,,350,Medical Device,,53900000,http://www.fernoems.com
FESTOOL,,,125,Machinery Manufacturing,,46500000,http://www.festoolusa.com
FIELD AEROSPACE,,,350,Aviation and Aerospace Component Manufacturing,,75000000,http://www.fieldaero.com
"FINISHMASTER, INC.",,Indiana,830,Motor Vehicle Manufacturing,,390000000,finishmaster.com
FIRSTRONIC,,,750,"Appliances, Electrical, and Electronics Manufacturing",,159000000,http://www.firstronic.com
FISHER BARTON,,,750,Machinery Manufacturing,,62000000,https://www.fisherbarton.com/
FISHER DYNAMICS,,,3000,Motor Vehicle Manufacturing,,300000000,http://www.fisherco.com/
FISHER TANK COMPANY,,Pennsylvania,94,Construction,,28000000,fishertank.com
"FIVES GIDDINGS & LEWIS, LLC",,,4448,machinery,,671400000,fivesgroup.com
FIVES NORTH AMERICAN COMBUSTION,,,350,Industrial Machinery Manufacturing,,30500000,http://combustion.fivesgroup.com/
FLAMBEAU,,,3000,Plastics Manufacturing,,57000000,http://www.flambeau.com
FLANDERS,,Indiana,790,electrical/electronic manufacturing,,290400000,flandersinc.com
FLEXFAB,,,750,Industrial Machinery Manufacturing,,271600000,http://www.flexfab.com
FLEXICON,,,350,Industrial Machinery Manufacturing,,34000000,http://www.flexicon.com
FLIGHT SYSTEMS INDUSTRIAL PRODUCTS,,Pennsylvania,73,electrical/electronic manufacturing,,33000000,fsip.biz
FLORACRAFT,,,350,Consumer Goods,,58600000,http://www.floracraft.com
FLORIDA PAINTS,,,125,Wholesale Building Materials,,47700000,https://www.FloridaPaints.com
FNA GROUP,,,750,Manufacturing,,61300000,http://www.fna-group.com
FOAM DESIGN,,Kentucky,54,Packaging & Containers,,35000000,foamdesign.com
FORD METER BOX,,Indiana,270,Construction,,119000000,fordmeterbox.com
FORT RECOVERY INDUSTRIES,,,350,Motor Vehicle Manufacturing,,30000000,http://www.fortrecoveryindustries.com
FORT WAYNE METALS,,Indiana,650,Mechanical Or Industrial Engineering,,137500000,fwmetals.com
FORTEC MEDICAL,,,350,Medical Equipment Manufacturing,,32900000,https://www.fortecmedical.com
FOSBEL,,,750,"Glass, Ceramics and Concrete Manufacturing",,318300000,http://www.fosbel.com/
FOSS NORTH AMERICA,,,1600,"Appliances, Electrical, and Electronics Manufacturing",,100000000,fossanalytics.com
FOUNDATION WELLNESS,,,125,Manufacturing,,70000000,https://www.foundationwellness.com/
FRANKLIN INTERNATIONAL,,,350,Chemical Manufacturing,,60000000,http://www.Franklininternational.com
FREEMAN ENCLOSURE SYSTEMS,,,350,"Appliances, Electrical, and Electronics Manufacturing",,33900000,http://freemanenclosures.com
FREEMAN MANUFACTURING & SUPPLY,,,125,Plastics Manufacturing,,31200000,http://www.freemansupply.com
FREEPORT PRESS,,,125,Printing Services,,40300000,http://www.freeportpress.com
FROMM FAMILY FOODS,,Wisconsin,200,Mechanical Or Industrial Engineering,,37400000,frommfamily.com
FRONTAGE LABORATORIES,,,750,Pharmaceutical Manufacturing,,184400000,http://www.frontagelab.com
FS-ELLIOTT,,,350,Machinery Manufacturing,,193800000,https://www.fs-elliott.com/
FUTABA CORPORATION OF AMERICA,,,130,electrical/electronic manufacturing,,593600000,http://www.futabaems.com
FXI,,,3000,Consumer Goods,,493700000,http://www.fxi.com/
G&H ORTHODONTICS®,,Indiana,85,medical devices,,40000000,ghorthodontics.com
G&S METAL PRODUCTS,,,350,Manufacturing,,30100000,http://www.gsmetal.com/
G&T INDUSTRIES,,,120,Furniture and Home Furnishings Manufacturing,,40964000,gtindustries.com
GAGE PRODUCTS COMPANY,,,97,Chemical Manufacturing,,65000000,gageproducts.com
GALERIE CANDY AND GIFTS,,,125,Manufacturing,,33700000,http://www.galeriecandy.com
GARBER AUTOMOTIVE,,,3000,Motor Vehicle Manufacturing,,319200000,https://www.garberauto.com
GARDENS ALIVE,,,3000,Manufacturing,,170000000,https://www.gardensalive.com
GARDNER,,,160,Retail,,150000000,http://www.gardnerinc.com
GARDNER WHITE,,,750,Furniture and Home Furnishings Manufacturing,,275000000,https://www.gardner-white.com
GASBARRE,,,350,Machinery Manufacturing,,59000000,http://www.gasbarre.com
GATE PETROLEUM COMPANY,,,490,Retail,,140000000,http://www.gatepetro.com
GED INTEGRATED SOLUTIONS,,,125,Machinery Manufacturing,,35000000,http://www.gedusa.com
GEHL FOOD,,,350,Food and Beverage Services,,43100000,http://www.gehlfoods.com
"GELEST, INC.",,,200,Chemical Manufacturing,,35000000,gelest.com
GEMAIRE DISTRIBUTORS,,,750,Wholesale,,385200000,http://www.gemaire.com
GEMINI GROUP,,,3000,Automotive,,30700000,https://geminigroup.net
GENERAL ALUMINUM,,,3000,Automotive,,31800000,http://www.generalaluminum.com
GENERAL DIE CASTERS,,,350,Machinery Manufacturing,,32400000,http://www.generaldie.com/
"GENERAL EQUIPMENT & SUPPLIES, INC.",,,108,machinery,,69300000,genequip.com
GENERAL FASTENERS,,,350,"Transportation, Logistics, Supply Chain and Storage",,300000000,http://www.genfast.com
GENERAL STAMPING & METALWORKS,,Indiana,140,Automation Machinery Manufacturing,,67400000,gsmwinc.com
GENERAL TOOL,,,350,Defense and Space Manufacturing,,36800000,http://www.gentool.com
GENESIS ATTACHMENTS,,Wisconsin,61,machinery,,53906000,genesisattachments.com
GENTELL,,Pennsylvania,200,medical devices,,51200000,gentell.com
GEO SPECIALTY CHEMICALS,,,750,Chemical Manufacturing,,170500000,http://www.geosc.com/
GEORGE E. BOOTH CO.,,Indiana,100,machinery,,25000000,gebooth.com
GEOTEK,,,145,machinery,,38005000,geotekinc.com
GEROTECH,,Michigan,200,machinery,,44939000,gerotech.com
GERTRUDE HAWK CHOCOLATES,,,750,Food and Beverage Manufacturing,,294400000,http://www.gertrudehawkchocolates.com/
GETTLE,,,350,"Appliances, Electrical, and Electronics Manufacturing",,37600000,http://www.gettle.com
GHSP,,Michigan,789,Automotive,,600000000,ghsp.com
GIBBS DIE CASTING,,,3000,Motor Vehicle Manufacturing,,215900000,http://www.gibbsdc.com
GLASSTECH,,,125,Machinery Manufacturing,,37500000,http://www.glasstech.com/
GLENN RIEDER,,Wisconsin,120,Construction,,27800000,glennrieder.com
GLENROY,,,350,Packaging and Containers Manufacturing,,125000000,https://www.glenroy.com
GLOBAL TUNGSTEN & POWDERS,,,750,Chemical Manufacturing,,150000000,http://www.globaltungsten.com/
GLUNT INDUSTRIES,,,125,Machinery Manufacturing,,31200000,http://www.glunt.com
GMI,,Minnesota,170,medical devices,,60700000,gmi-inc.com
GMI COMPANIES,,,125,Furniture,,30000000,http://www.ghent.com
GOEX,,,350,Plastics Manufacturing,,52000000,http://www.goex.com
GOJO,,,3000,Manufacturing,,448200000,http://www.GOJO.com
GONZALEZ GROUP,,,750,Automation Machinery Manufacturing,,50000000,http://www.gonzalez-group.com
GOOD FOODS,,,750,Food & Beverages,,210000000,http://www.goodfoods.com
